Title,Location,DayOfWeek,TimeStart,TimeEnd,WeekOfMonth,Description,Recurring,Category,URL
The Gym,The Park Centre,Mon,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Tue,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Wed,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Thu,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Fri,07:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Postnatal Pilates,The Park Centre,Mon,10:00:00,10:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Over 55s Dance Fit,The Park Centre,Mon,10:00:00,11:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Over 55s Dance Variety,The Park Centre,Mon,11:00:00,12:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Staying Steady,The Park Centre,Mon,,,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Badminton,The Park Centre,Mon,15:00:00,16:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Yoga (beginners),The Park Centre,Mon,18:00:00,19:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Revive Aerobics,The Park Centre,Mon,18:00:00,19:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Mon,19:00:00,19:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin,The Park Centre,Mon,18:45:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Puppy & Dog Training,The Park Centre,Mon,19:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bristol Benchwarmers Basketball,The Park Centre,Mon,19:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Stained Glass,The Park Centre,Tue,13:30:00,15:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Wicketz,The Park Centre,Tue,16:30:00,18:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Kasper Minnie’s Dance,The Park Centre,Tue,17:30:00,18:30:00,,term time only,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bristol Benchwarmers Basketball,The Park Centre,Tue,18:00:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spinning,The Park Centre,Tue,18:30:00,19:15:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Imperial SW Karate,The Park Centre,Tue,19:00:00,20:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Tue,19:30:00,20:20:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin & Circuits,The Park Centre,Tue,19:30:00,21:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spartan Basketball,The Park Centre,Tue,19:30:00,20:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
AA Meeting,The Park Centre,Tue,20:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Ladies only HIIT,The Park Centre,Tue,20:30:00,21:15:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Wed,09:45:00,10:35:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Retired Gentlemens Woodworking Group,The Park Centre,Wed,10:00:00,14:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Walking Hockey,The Park Centre,Wed,12:00:00,13:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
A Ride in the Park,The Park Centre,Wed,16:00:00,17:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pottery for the Experienced,The Park Centre,Wed,16:00:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Park Football Club (Seasonal),The Park Centre,Wed,17:00:00,18:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
KASPA Dance Class Juniors,The Park Centre,Wed,17:00:00,18:00:00,,term time only,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
KASPA Dance Class Seniors,The Park Centre,Wed,18:00:00,20:00:00,,term time only,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pregnancy fitness & Pilates,The Park Centre,Wed,18:00:00,18:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Ladies only HIIT,The Park Centre,Wed,19:00:00,19:45:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin & Core,The Park Centre,Wed,18:30:00,19:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Academy Badminton,The Park Centre,Wed,19:00:00,22:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Wed,20:00:00,20:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Thu,07:30:00,08:20:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin Class,The Park Centre,Thu,10:05:00,10:55:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Ping (Over 55’s),The Park Centre,Thu,10:30:00,12:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Postnatal Pilates,The Park Centre,Thu,11:00:00,11:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Archery (Over 55’s),The Park Centre,Thu,11:45:00,13:15:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Yoga,The Park Centre,Thu,12:30:00,01:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Park Football Club (Seasonal),The Park Centre,Thu,18:00:00,20:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin,The Park Centre,Thu,18:45:00,19:45:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Light Sabre Training,The Park Centre,Thu,19:30:00,21:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bart Basketball,The Park Centre,Thu,20:00:00,21:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Tai Chi,The Park Centre,Fri,11:00:00,12:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates,The Park Centre,Fri,14:00:00,15:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Walking Football,The Park Centre,Fri,14:30:00,15:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Park Football Disability Team,The Park Centre,Fri,16:45:00,18:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Pilates  ,The Park Centre,Sat,09:00:00,09:50:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Spin & Stretch,The Park Centre,Sat,09:30:00,10:30:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Imperial SW Karate,The Park Centre,Sat,10:00:00,11:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Batala Bristol,The Park Centre,Sat,14:00:00,17:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Sat,09:00:00,14:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
The Gym,The Park Centre,Sun,09:00:00,14:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Bristol Benchwarmers Basketball,The Park Centre,Sun,09:30:00,11:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Parkour,The Park Centre,Sun,11:00:00,13:00:00,,,Y,Exercise,https://theparkcentre.org.uk/wp/whats-on/
Urban Music Nights ,Filwood Community Centre,Fri,18:30:00,22:30:00,2,KUMA presents DJs + MCs from near and far. ,Y,Music,https://filwoodcentre.org.uk/
Arts2Life Live Music Nights,Filwood Community Centre,Fri,19:30:00,22:30:00,1,,Y,Music,https://filwoodcentre.org.uk/
Filwood Community Market,Filwood Community Centre,Sat,11:00:00,14:00:00,1,,Y,Shopping,https://filwoodcentre.org.uk/
Zumba,Bristol Community Links,Fri,14:00:00,15:00:00,,Victoria will be back at Bristol Community links South for a Fun Filled new year Zumba work out!,Y,Exercise,https://www.facebook.com/events/1819333294863459/?event_time_id=1819333328196789
Community Allotment Knowle West,"Knowle West Health Association, Andover Road",Tue,10:00:00,13:30:00,,"Orchard, wildlife and kid’s picnic",Y,Outdoors,https://kwha1.wordpress.com/current-courses-and-activties/
Good Mood Food Cooking Classes,"Knowle West Health Association, 49b Filwood Broadway",Thu,13:00:00,15:00:00,,,Y,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/
Friendship Cooking Classes (50yo +),"Knowle West Health Association, 49b Filwood Broadway",Tue,12:30:00,14:30:00,,,Y,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/
Filwood Library,Filwood Library,Mon,11:00:00,17:00:00,,,Y,Reading,
Filwood Library,Filwood Library,Wed,11:00:00,17:00:00,,,Y,Reading,
Filwood Library,Filwood Library,Fri,11:00:00,17:00:00,,,Y,Reading,
Yoga,Filwood Community Centre,Mon,19:00:00,20:00:00,,,Y,Exercise,
Man Alive monthly meeting,Roundhouse Springfield allotments off Daventry Road,Fri,10:00:00,11:30:00,1,Man Alive has been created to highlight what’s going on for men in South Bristol. We meet as group once a month 10am at the Roundhouse Springfield allotments off Daventry Road Knowle where we have breakfast and discuss up and coming events and get to know each other.,Y,Outdoors,
Cafe Church,St Barnabas Knowle West,Wed,19:00:00,,,,Y,Cafe,
"Coffee, Cake & Chat",St Barnabas Knowle West,Thu,10:00:00,11:30:00,,"Everyone Welcome, Free Tea, Coffee, Cake",Y,Cafe,
Wednesday Club,"Eagle House Social Club, Newquay Road",Wed,12:30:00,15:00:00,,A group of over 50s who meet once a week all year.,Y,Cafe,
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",Mon,09:00:00,17:00:00,,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Y,Art,
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",Tue,09:00:00,17:00:00,,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Y,Art,
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",Wed,09:00:00,17:00:00,,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Y,Art,
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",Thu,09:00:00,17:00:00,,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Y,Art,
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",Fri,09:00:00,17:00:00,,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Y,Art,
